Model                                            , Provider    , Tags            , Input $/1M, Output $/1M, Context, Latency(s), Throughput(t/s), Tools, Structured
meta-llama/Llama-3.1-8B-Instruct                 , sambanova   ,                 , 0.10      , 0.20       , 16384  , 0.82      , 466            , Yes  , Yes
meta-llama/Llama-3.1-8B-Instruct                 , scaleway    ,                 , -         , -          , -      , 0.32      , 104            , Yes  , Yes
meta-llama/Llama-3.2-1B-Instruct                 , novita      ,                 , -         , -          , 131000 , 0.72      , 184            , No   , No
meta-llama/Llama-3.2-1B-Instruct                 , sambanova   ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.2-1B-Instruct                 , together    ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.2-3B-Instruct                 , hyperbolic  ,                 , 0.10      , 0.10       , 131072 , 2.04      , 103            , Yes  , No
meta-llama/Llama-3.2-3B-Instruct                 , novita      ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.2-3B-Instruct                 , sambanova   ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.2-3B-Instruct                 , together    , cheapest fastest, 0.06      , 0.06       , 131072 , 0.72      , 113            , Yes  , Yes
meta-llama/Llama-3.3-70B-Instruct                , cerebras    , fastest         , 0.85      , 1.20       , -      , 0.41      , 893            , Yes  , No
meta-llama/Llama-3.3-70B-Instruct                , fireworks-ai,                 , 0.90      , 0.90       , 131072 , 0.29      , 119            , No   , No
meta-llama/Llama-3.3-70B-Instruct                , groq        ,                 , 0.59      , 0.79       , 131072 , 0.24      , 333            , Yes  , No
meta-llama/Llama-3.3-70B-Instruct                , hyperbolic  ,                 , 0.40      , 0.40       , 131072 , 1.03      , 99             , Yes  , No
meta-llama/Llama-3.3-70B-Instruct                , novita      , cheapest        , 0.14      , 0.40       , 131072 , 1.63      , 42             , Yes  , No
meta-llama/Llama-3.3-70B-Instruct                , nscale      ,                 , 0.40      , 0.40       , 131072 , 1.07      , 16             , No   , Yes
meta-llama/Llama-3.3-70B-Instruct                , ovhcloud    ,                 , 0.74      , 0.74       , 131072 , 0.42      , 36             , Yes  , Yes
meta-llama/Llama-3.3-70B-Instruct                , sambanova   ,                 , 0.60      , 1.20       , 131072 , 0.33      , 289            , Yes  , Yes
meta-llama/Llama-3.3-70B-Instruct                , scaleway    ,                 , -         , -          , -      , 0.30      , 84             , Yes  , Yes
meta-llama/Llama-3.3-70B-Instruct                , together    ,                 , 0.88      , 0.88       , 131072 , 1.75      , 51             , No   , No
meta-llama/Llama-4-Maverick-17B-128E-Instruct    , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-4-Maverick-17B-128E-Instruct    , groq        , cheapest        , 0.20      , 0.60       , 131072 , 2.83      , 179            , Yes  , No
meta-llama/Llama-4-Maverick-17B-128E-Instruct    , sambanova   , fastest         , 0.63      , 1.80       , 131072 , 1.33      , 336            , Yes  , Yes
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8, novita      , cheapest fastest, 0.27      , 0.85       , 1048576, 0.41      , 59             , No   , No
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8, together    ,                 , 0.27      , 0.85       , 1048576, 0.34      , 58             , Yes  , Yes
meta-llama/Llama-4-Scout-17B-16E-Instruct        , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-4-Scout-17B-16E-Instruct        , groq        , fastest         , 0.11      , 0.34       , 131072 , 0.21      , 373            , Yes  , No
meta-llama/Llama-4-Scout-17B-16E-Instruct        , novita      ,                 , 0.18      , 0.59       , 131072 , 0.39      , 50             , No   , No
meta-llama/Llama-4-Scout-17B-16E-Instruct        , nscale      , cheapest        , 0.09      , 0.29       , 890000 , 0.79      , 33             , Yes  , Yes
meta-llama/Llama-4-Scout-17B-16E-Instruct        , sambanova   ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-4-Scout-17B-16E-Instruct        , together    ,                 , 0.18      , 0.59       , 1048576, 0.33      , 72             , Yes  , Yes
meta-llama/Llama-Guard-4-12B                     , groq        ,                 , 0.20      , 0.20       , 131072 , 0.22      , 8              , No   , No
meta-llama/Meta-Llama-3-70B-Instruct             , groq        ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Meta-Llama-3-70B-Instruct             , hyperbolic  ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Meta-Llama-3-70B-Instruct             , novita      ,                 , 0.51      , 0.74       , 8192   , 1.62      , 9              , No   , Yes
meta-llama/Meta-Llama-3-70B-Instruct             , together    ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Meta-Llama-3-8B-Instruct              , groq        ,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Meta-Llama-3-8B-Instruct              , novita      ,                 , 0.04      , 0.04       , 8192   , 0.60      , 71             , No   , No
meta-llama/Meta-Llama-3-8B-Instruct              , together    ,                 , -         , -          , -      , -         , -              , -    , -
mistralai/Mixtral-8x22B-Instruct-v0.1            , fireworks-ai, fastest         , 1.20      , 1.20       , 65536  , 0.42      , 69             , No   , No
mistralai/Mixtral-8x22B-Instruct-v0.1            , nscale      , cheapest        , 1.20      , 1.20       , 65536  , 0.92      , 20             , No   , Yes
mistralai/Mixtral-8x22B-Instruct-v0.1            , together    ,                 , -         , -          , -      , -         , -              , -    , -
moonshotai/Kimi-K2-Instruct                      , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
moonshotai/Kimi-K2-Instruct                      , novita      , cheapest        , 0.57      , 2.30       , 131072 , 1.12      , 31             , Yes  , Yes
moonshotai/Kimi-K2-Instruct                      , together    , fastest         , 1.00      , 3.00       , 131072 , 0.87      , 60             , Yes  , Yes
moonshotai/Kimi-K2-Instruct-0905                 , groq        , fastest         , -         , -          , 262144 , 0.17      , 186            , Yes  , No
moonshotai/Kimi-K2-Instruct-0905                 , novita      , cheapest        , 0.60      , 2.50       , 262144 , 0.95      , 41             , No   , No
moonshotai/Kimi-K2-Instruct-0905                 , together    ,                 , 1.00      , 3.00       , 262144 , 0.55      , 52             , Yes  , Yes
moonshotai/Kimi-K2-Thinking                      , novita      , cheapest        , 0.60      , 2.50       , 262144 , 1.25      , 32             , Yes  , No
moonshotai/Kimi-K2-Thinking                      , together    , fastest         , 1.20      , 4.00       , 262144 , 0.52      , 109            , Yes  , Yes
moonshotai/Kimi-K2.5                             , fireworks-ai, fastest         , -         , -          , 262144 , 2.58      , 63             , Yes  , No
moonshotai/Kimi-K2.5                             , novita      ,                 , 0.60      , 3.00       , 262144 , 1.81      , 60             , Yes  , No
moonshotai/Kimi-K2.5                             , together    , cheapest        , 0.50      , 2.80       , 262144 , 0.39      , 59             , Yes  , No
openai/gpt-oss-120b                              , cerebras    , fastest         , 0.25      , 0.69       , -      , 0.25      , 767            , Yes  , No
openai/gpt-oss-120b                              , fireworks-ai,                 , 0.15      , 0.60       , 131072 , 1.73      , 58             , Yes  , No
openai/gpt-oss-120b                              , groq        ,                 , 0.15      , 0.75       , 131072 , 0.49      , 392            , Yes  , No
openai/gpt-oss-120b                              , hyperbolic  ,                 , 0.30      , 0.30       , 131072 , 0.63      , 276            , Yes  , No
openai/gpt-oss-120b                              , novita      , cheapest        , 0.05      , 0.25       , 131072 , 1.67      , 67             , Yes  , Yes
openai/gpt-oss-120b                              , nscale      ,                 , 0.10      , 0.40       , 131072 , 0.66      , 98             , Yes  , Yes
openai/gpt-oss-120b                              , ovhcloud    ,                 , 0.09      , 0.47       , 131072 , 0.29      , 92             , Yes  , Yes
openai/gpt-oss-120b                              , sambanova   ,                 , 0.22      , 0.59       , 131072 , 0.92      , 516            , Yes  , Yes
openai/gpt-oss-120b                              , scaleway    ,                 , -         , -          , -      , 0.35      , 202            , Yes  , Yes
openai/gpt-oss-120b                              , together    ,                 , 0.15      , 0.60       , 131072 , 0.32      , 57             , Yes  , Yes
openai/gpt-oss-20b                               , fireworks-ai,                 , 0.05      , 0.20       , 131072 , 0.35      , 124            , Yes  , No
