Model,Provider,Tags,Input $/1M,Output $/1M,Context,Latency(s),Throughput(t/s),Tools,Structured
liquid/lfm-2.2-6b,Liquid,Other;in:text;out:text;variant:standard;quant:unknown,0.010000,0.020000,32768,,,no,no
liquid/lfm-2.5-1.2b-instruct,Liquid,Other;in:text;out:text;variant:free;quant:unknown,0.000000,0.000000,32768,,,no,no
liquid/lfm-2.5-1.2b-thinking,Liquid,Other;reasoning;in:text;out:text;variant:free;quant:unknown,0.000000,0.000000,32768,,,no,no
liquid/lfm-3b,,Other;in:text;out:text,,,32768,,,no,no
liquid/lfm-40b,,Other;in:text;out:text,,,32768,,,no,no
liquid/lfm-7b,,Other;in:text;out:text,,,32768,,,no,no
liquid/lfm2-8b-a1b,Liquid,Other;in:text;out:text;variant:standard;quant:unknown,0.010000,0.020000,32768,,,no,no
liuhaotian/llava-13b,,"Llama2;in:text,image;out:text",,,2048,,,no,no
liuhaotian/llava-yi-34b,,"Yi;in:text,image;out:text",,,4096,,,no,no
lizpreciatior/lzlv-70b-fp16-hf,,Llama2;in:text;out:text,,,4096,,,no,no
lynn/soliloquy-l3,,Llama3;in:text;out:text,,,24576,,,no,no
lynn/soliloquy-v3,,Llama3;in:text;out:text,,,32768,,,no,no
mancer/weaver,Mancer,Llama2;in:text;out:text;variant:standard;quant:fp8,0.750000,1.000000,8000,,,no,yes
mattshumer/reflection-70b,,Llama3;in:text;out:text,,,131072,,,no,no
meituan/longcat-flash-chat,AtlasCloud,Other;in:text;out:text;variant:standard;quant:fp8,0.200000,0.800000,131072,,,no,no
meta-llama/codellama-34b-instruct,,Llama2;in:text;out:text,,,8192,,,no,no
meta-llama/codellama-70b-instruct,,Llama2;in:text;out:text,,,2048,,,no,no
meta-llama/llama-2-13b-chat,,Llama2;in:text;out:text,,,4096,,,no,no
meta-llama/llama-2-70b-chat,,Llama2;in:text;out:text,,,4096,,,no,no
meta-llama/llama-3-70b,,Llama3;in:text;out:text,,,8192,,,no,no
meta-llama/llama-3-70b-instruct,NovitaAI,Llama3;in:text;out:text;variant:standard;quant:fp8,0.510000,0.740000,8192,,,no,yes
meta-llama/llama-3-8b,,Llama3;in:text;out:text,,,8192,,,no,no
meta-llama/llama-3-8b-instruct,DeepInfra,Llama3;in:text;out:text;variant:standard;quant:bf16,0.030000,0.040000,8192,,,yes,yes
meta-llama/llama-3.1-405b,Hyperbolic,Llama3;in:text;out:text;variant:standard;quant:bf16,4.000000,4.000000,32768,,,no,no
meta-llama/llama-3.1-405b-instruct,Hyperbolic,Llama3;in:text;out:text;variant:standard;quant:bf16,4.000000,4.000000,131000,,,no,no
